*******************************************************************************************************************
*    Row   * Instance *       run *    subrun *     event *   toftime *     wcmom *   ckovadc *           evtTime *
*   137735 *        4 *    101038 *        11 *      6796 * 32.378253 * 1093.8667 *      3474 * 1611399570.849298 *
*   137821 *        0 *    101038 *        15 *     12199 * 32.525459 * 982.35455 *      3416 * 1611402311.586609 *
*   138066 *        3 *    101038 *        27 *     14568 * 32.501514 * 889.44812 *      3517 * 1611411022.814351 *
*   138077 *        7 *    101038 *        28 *      6451 * 32.586883 * 975.02581 *      3459 * 1611411329.761904 *
*   138085 *       30 *    101038 *        28 *     11791 * 32.693855 * 1190.4965 *      3436 * 1611411570.639096 *
*   138167 *        6 *    101038 *        33 *      2464 * 32.992607 * 1138.2474 *      3529 * 1611414803.299427 *
*   138244 *        0 *    101038 *        37 *      3667 * 32.287712 *  1041.828 *      3385 * 1611418334.684036 *
*   138244 *        8 *    101038 *        37 *      3667 * 32.287712 *  1041.828 *      3385 * 1611418334.684036 *
*   138722 *        9 *    101040 *        13 *      5058 * 32.266300 * 1147.7801 *      2936 * 1611433504.810135 *
*   138730 *        1 *    101040 *        13 *      7716 * 31.771085 * 1072.0758 *      3519 * 1611433627.816125 *
*   138972 *        7 *    101041 *         3 *     11975 * 32.324996 * 1179.7251 *      3541 * 1611438201.089049 *
*   143200 *        5 *    101041 *        29 *      4325 * 32.557102 * 857.41839 *      3531 * 1611460077.254234 *
*   143736 *       13 *    101041 *        41 *      8227 * 32.514106 * 985.76220 *      3561 * 1611467691.480678 *
*   144218 *        5 *    101041 *        48 *      2699 * 32.457466 * 1035.8458 *      3489 * 1611470679.301066 *
*   144780 *       48 *    101041 *        55 *      1090 * 31.642007 * 850.13195 *      3394 * 1611473967.120859 *
*   145893 *        2 *    101042 *         5 *     10006 * 32.737583 * 1136.5555 *      3441 * 1611481099.582384 *
*   146677 *        1 *    101042 *        14 *      8279 * 32.318668 * 974.42388 *      3532 * 1611485422.822888 *
*   146951 *       10 *    101042 *        17 *     10769 * 32.899818 * 1162.8098 *      3489 * 1611487009.501429 *
*   150448 *       12 *    101043 *         5 *      7716 * 32.605186 * 1108.1364 *      3555 * 1611514852.811501 *
*   150736 *       11 *    101043 *         7 *      9204 * 32.807128 * 868.54162 *      3467 * 1611516255.029868 *
*   154606 *        4 *    101043 *        33 *     12392 * 32.337421 * 1108.8150 *      3498 * 1611539895.060410 *
*   158406 *        3 *    101043 *        62 *     12622 * 32.129608 * 760.82916 *      3425 * 1611566091.879599 *
*   166774 *        7 *    101047 *        10 *     14486 * 32.509494 * 1194.5719 *      3463 * 1611603754.250670 *
*   173767 *        2 *    101048 *         2 *      1292 * 32.812336 * 1030.4882 *      3507 * 1611631672.296870 *
*   176877 *        2 *    101048 *        28 *     11670 * 32.583385 * 1026.8225 *      3461 * 1611646495.645133 *
