*******************************************************************************************************************
*    Row   * Instance *       run *    subrun *     event *   toftime *     wcmom *   ckovadc *           evtTime *
*   580750 *        5 *    101141 *        54 *      7044 * 35.894660 * 1091.9940 *        -5 * 1614880727.335076 *
*   580775 *        8 *    101141 *        56 *      7028 * 35.650371 * 1117.9171 *        -5 * 1614882529.795830 *
*   581041 *       26 *    101142 *        24 *      4545 * 36.236015 * 1070.0764 *        -5 * 1614911275.607991 *
*   581106 *        0 *    101142 *        30 *      8002 * 35.140564 * 1152.9233 *        -5 * 1614916865.574325 *
*   581163 *        2 *    101142 *        36 *      2032 * 35.785602 * 1046.8714 *        -5 * 1614921977.544665 *
*   581999 *        2 *    101146 *        19 *      6129 * 37.554142 * 929.49719 *        -5 * 1615002273.712730 *
*   582066 *        2 *    101146 *        27 *     12048 * 35.889015 * 991.70190 *        -5 * 1615009791.159125 *
*   582219 *        7 *    101146 *        44 *     12654 * 36.887882 * 905.62908 *        -5 * 1615025153.146070 *
*   582569 *        1 *    101149 *         0 *     13460 * 35.667881 * 1115.9879 *        -5 * 1615074786.779075 *
*   582901 *       23 *    101149 *        33 *      3499 * 37.245037 * 910.29290 *        -5 * 1615104069.628349 *
*   582999 *        0 *    101149 *        44 *      4747 * 36.611297 * 969.74768 *        -5 * 1615114052.451516 *
*   583255 *        4 *    101150 *         7 *     10896 * 36.104126 * 965.20397 *        -5 * 1615138705.847160 *
*   583313 *        1 *    101150 *        13 *      2301 * 36.478519 * 919.70343 *        -5 * 1615143695.140377 *
*   585985 *        7 *    101158 *         2 *      6614 * 34.781356 * 1026.6298 *        -5 * 1615246218.320115 *
*   586359 *       12 *    101160 *        15 *      3781 * 35.255344 * 1091.4456 *        -5 * 1615261618.799039 *
*   586628 *        3 *    101160 *        46 *     13528 * 36.228675 * 998.25982 *        -5 * 1615290063.637648 *
*   587005 *        2 *    101162 *         0 *     12281 * 35.664703 * 1070.0914 *        -5 * 1615316702.373082 *
*   587408 *        1 *    101162 *        53 *     13230 * 36.712692 * 988.10949 *        -5 * 1615364502.205039 *
*   587411 *        1 *    101162 *        54 *       924 * 36.203605 * 1018.1620 *        -5 * 1615364801.495431 *
