*******************************************************************************************************************
*    Row   * Instance *       run *    subrun *     event *   toftime *     wcmom *   ckovadc *           evtTime *
*    93395 *        3 *    100991 *        22 *     14768 * 32.805316 * 1126.2000 *        -5 * 1610706756.423868 *
*    93404 *       18 *    100991 *        23 *      1054 * 32.795280 * 944.99432 *        -5 * 1610706877.513089 *
*    93426 *       20 *    100991 *        23 *      6023 * 43.775161 * 1111.5789 *        -5 * 1610707123.081040 *
*    93468 *        2 *    100991 *        24 *       158 * 32.898613 * 1067.9392 *        -5 * 1610707731.004560 *
*    93484 *        0 *    100991 *        24 *      4048 * 43.091659 * 1095.8352 *        -5 * 1610707913.071899 *
*    93574 *        6 *    100991 *        25 *      9933 * 44.944599 * 1011.1981 *        -5 * 1610709070.641454 *
*    93580 *       37 *    100991 *        25 *     11224 * 33.388164 * 1052.5024 *        -5 * 1610709130.213440 *
*    93584 *        5 *    100991 *        25 *     12417 * 32.800041 * 1052.2624 *        -5 * 1610709191.083910 *
*    93620 *        3 *    100991 *        26 *      2770 * 43.697738 * 1052.0036 *        -5 * 1610709618.835860 *
*    93642 *        2 *    100991 *        26 *      8073 * 32.865924 * 899.49841 *        -5 * 1610709862.542192 *
*    93712 *       11 *    100991 *        27 *      9817 * 32.571552 * 1075.6641 *        -5 * 1610710656.757617 *
*    93793 *        7 *    100991 *        28 *     11342 * 41.409072 * 1191.1210 *        -5 * 1610711632.062673 *
*    93845 *       33 *    100991 *        29 *      4310 * 32.768966 * 1052.8464 *        -5 * 1610712180.183781 *
*    93901 *        1 *    100991 *        30 *      1287 * 32.556091 * 1009.5363 *        -5 * 1610712848.202020 *
*    93904 *        0 *    100991 *        30 *      1463 * 33.057613 * 968.36584 *        -5 * 1610712850.414538 *
*    93907 *        2 *    100991 *        30 *      2756 * 32.909423 * 939.54473 *        -5 * 1610712911.089010 *
*    93918 *       22 *    100991 *        30 *      5303 * 32.466789 * 866.50915 *      3521 * 1610713032.318954 *
*    93921 *        2 *    100991 *        30 *      7789 * 46.147712 * 951.28039 *        -5 * 1610713151.944290 *
*    93929 *        2 *    100991 *        30 *     10473 * 32.581611 * 995.46228 *        -5 * 1610713275.064259 *
*    93939 *        6 *    100991 *        30 *     14494 * 31.643287 * 1184.0631 *        -5 * 1610713458.708035 *
*    93942 *       11 *    100991 *        30 *     15950 * 43.831558 * 1246.4619 *        -5 * 1610713520.268753 *
*    93944 *        1 *    100991 *        31 *      1112 * 32.765808 * 1213.1049 *        -5 * 1610713579.379558 *
*    93948 *       23 *    100991 *        31 *      2449 * 46.799133 * 986.92425 *        -5 * 1610713639.281284 *
*    93973 *       11 *    100991 *        31 *     10799 * 33.283775 * 1012.3797 *        -5 * 1610714008.436823 *
*    93978 *       11 *    100991 *        31 *     12153 * 32.553485 * 1171.1894 *        -5 * 1610714068.202838 *
*    93992 *        5 *    100991 *        32 *      3970 * 32.528060 * 1077.5902 *        -5 * 1610714372.945067 *
*    94001 *        2 *    100991 *        32 *      6762 * 32.984409 * 936.94397 *        -5 * 1610714494.763841 *
*    94018 *        1 *    100991 *        33 *      1200 *  32.72155 * 955.60882 *        -5 * 1610714861.675823 *
*    94071 *        6 *    100991 *        33 *     17475 * 32.378067 * 845.04742 *      3559 * 1610715649.909919 *
*    94132 *        8 *    100991 *        34 *     13687 * 47.512188 * 935.47131 *        -5 * 1610716321.562836 *
*    94139 *       21 *    100991 *        34 *     16084 * 42.509372 * 1153.7894 *        -5 * 1610716442.171821 *
*    94166 *       13 *    100991 *        35 *      3901 *  32.89571 * 980.60833 *        -5 * 1610716749.213231 *
